Proteins,LFQ intensity 28a,LFQ intensity 28b,LFQ intensity 28c,LFQ intensity 28d,LFQ intensity 29a,LFQ intensity 29b,LFQ intensity 29c,LFQ intensity 29d,LFQ intensity 30a,LFQ intensity 30b,LFQ intensity 30c,LFQ intensity 30d,LFQ intensity 7a,LFQ intensity 7b,LFQ intensity 7c,LFQ intensity 7d,LFQ intensity CTLa,LFQ intensity CTLb,LFQ intensity CTLc,LFQ intensity CTLd
MRPS23,29.63626765,31.16907732,30.17224067,30.03485638,29.27030495,30.80977279,30.78433214,28.60692582,28.6026496,31.63348144,29.96870366,30.08967329,29.06435103,30.53101655,30.11383876,30.71415733,24.80926375,26.03065333,27.55310766,0
FLOT2,23.17577064,22.0624665,23.79044475,29.03852403,26.47565205,0,23.29403846,30.60434747,26.21547183,22.2633311,0,0,25.57942989,0,23.19919425,26.04028119,27.58383993,0,0,0
RPS21,31.15255142,31.79961942,29.89473921,29.27246459,30.04960118,31.53134197,29.73112543,32.25617106,30.16686482,31.03012709,30.63944532,31.728541,29.05561231,30.98039598,30.06522456,31.16440917,27.40738305,28.49910641,29.07566594,0
LSM5,24.0746354,24.16867334,0,23.46276286,24.32154831,24.73593195,0,23.80567697,0,0,0,23.44025075,24.35474332,25.40999036,0,23.81362464,23.76688634,0,0,0
LSM6,25.42120784,26.48120694,26.56197404,25.32930309,25.08350854,26.63740828,25.88753226,0,24.45826341,25.69157656,25.03347073,25.8003294,25.34546724,26.35334729,26.66383777,0,0,24.88990088,0,0
G3BP2,30.56510876,29.47245215,29.03417422,29.73445647,30.18020776,29.81476169,28.79751831,31.00524155,29.69925647,29.25608668,28.80103903,30.32367129,30.24932033,29.88449906,28.67266472,29.59709991,28.79869284,24.93853975,29.17543279,26.57729904
EIF3M,28.56891798,27.28038523,26.92422372,26.28249008,28.6125961,28.24558527,27.21567548,27.49159563,27.95082569,27.11515433,27.74130455,27.34756379,29.01374423,28.26055758,27.61456315,26.58949434,28.11227341,28.3536754,27.70576262,0
ASCC3,29.09252404,24.3655295,23.96631252,27.02030382,29.1330064,23.73861431,0,26.52073281,28.84571448,24.51941358,25.0146117,26.58419847,28.99720012,25.68797811,24.78466599,26.79686881,26.14267813,24.34224887,0,0
LUC7L,30.25157931,27.81567802,29.66714152,28.9294537,31.02419359,30.1021196,30.04583147,28.59942522,27.85946502,28.36352576,29.48861098,29.28669939,30.96154592,30.11172638,30.25766094,29.37189792,27.46971869,25.5241452,25.3782549,0
MRPS25,30.65684961,30.19530724,30.19530724,31.03275638,29.22504022,30.0964755,30.59165362,29.3009478,29.12566055,29.99967505,30.15713754,30.89771348,28.98370184,29.98427246,29.91356389,30.92216895,25.5460134,26.49676968,25.20284483,0
LUC7L2,31.88946866,30.07175927,32.05685288,31.71173921,33.69436583,33.15437856,33.66680725,32.14196596,29.70884033,30.94034732,31.60704051,32.31602857,33.78243908,33.08486725,33.54869162,33.27628058,29.48083343,29.83557089,30.12262778,29.96746736
MRPS34,29.81723444,30.39376407,30.6467584,30.49885922,28.64309789,30.50852523,30.25011138,28.89223665,28.59992175,30.52000213,30.85652949,30.48596556,28.94159308,29.76311334,30.16134874,31.00905193,25.19242226,25.91269056,26.42229913,24.51821323
EIF3D,28.7024967,28.72815983,27.22029625,27.54185523,28.57852322,28.25480351,27.70589442,28.14282418,28.31410614,27.82790097,29.09413613,28.53797378,28.93545185,29.12284991,28.00661979,27.30912617,28.83430544,28.62069297,27.1915001,0
GNAS,21.46553053,22.61853965,0,29.14440537,23.21945452,23.17593811,0,29.37250001,23.14388888,23.1154044,0,0,23.60240891,24.10453605,0,26.17664584,24.1799516,0,0,0
